Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
2020-01-26 13:17,Wi-Fi,"SSID: Holly Hill",34.315784,-77.737385,31206,47907080,8351,13707528,37,"Rocky Mount, NC","192.168.1.123","75.138.193.56",No
2020-01-26 11:55,Wi-Fi,"SSID: Holly Hill",34.316158,-77.737708,43389,71322688,9783,5957528,48,"Rocky Mount, NC","192.168.1.123","75.138.193.56",No
2020-01-25 19:44,Wi-Fi,"SSID: Holly Hill",34.316110,-77.737899,6173,8056672,9236,12873384,56,"Greenville, NC","192.168.1.123","75.138.193.56",No
2020-01-25 01:58,Wi-Fi,"SSID: Holly Hill",34.315543,-77.738308,22243,22413592,7611,10660966,36,"Rocky Mount, NC","192.168.1.123","75.138.193.56",No
2020-01-24 20:09,Wi-Fi,"SSID: Holly Hill",34.314776,-77.738094,57958,91575864,8438,13040672,36,"Rocky Mount, NC","192.168.1.123","75.138.193.56",No
2020-01-24 18:36,Wi-Fi,"SSID: Holly Hill",34.316270,-77.738095,59113,74314256,11035,12964872,38,"Rocky Mount, NC","192.168.1.123","75.138.193.56",No
2020-01-24 00:12,Wi-Fi,"SSID: Holly Hill",34.316059,-77.737879,30904,54311832,9866,15782168,41,"Raleigh, NC","192.168.1.124","75.138.193.56",No
2020-01-23 22:40,Wi-Fi,"SSID: Holly Hill",34.316093,-77.736918,31206,49711288,9273,12128256,48,"Greenville, NC","192.168.1.125","75.138.193.56",No
2020-01-22 16:02,Wi-Fi,"SSID: Holly Hill",34.315706,-77.737751,2339,2968648,3026,3462108,54,"Greenville, NC","192.168.1.125","75.138.193.56",No
2020-01-17 22:02,Wi-Fi,"SSID: Holly Hill",34.315814,-77.737935,37143,65433672,9105,13805688,50,"Greenville, NC","192.168.1.125","75.138.193.56",No
2020-01-17 02:09,Wi-Fi,"SSID: Holly Hill",34.316110,-77.738174,30536,40208312,10172,16979704,50,"Rocky Mount, NC","192.168.1.125","75.138.193.56",No
2020-01-15 22:04,Wi-Fi,"SSID: Holly Hill",34.315634,-77.737828,258,409784,1909,3187507,244,"Raleigh, NC","192.168.1.125","75.138.193.56",No
2020-01-15 01:42,Wi-Fi,"SSID: Holly Hill",34.315547,-77.738096,18131,32147048,7044,10987216,47,"Raleigh, NC","192.168.1.125","75.138.193.56",No
2020-01-13 13:30,Wi-Fi,"SSID: Holly Hill",34.315797,-77.737986,26219,40399200,7980,11874056,40,"Raleigh, NC","192.168.1.135","75.138.193.56",No
2020-01-13 11:34,Wi-Fi,"SSID: Holly Hill",34.315698,-77.737584,29365,44962096,6959,10355736,58,"Raleigh, NC","192.168.1.135","75.138.193.56",No
2020-01-13 11:25,Wi-Fi,"SSID: Holly Hill",34.315614,-77.737119,133,247608,876,1438320,71,"Raleigh, NC","192.168.1.135","75.138.193.56",No
2020-01-11 20:33,Wi-Fi,"SSID: Holly Hill",34.315774,-77.737821,5882,8372336,9081,15157896,50,"Raleigh, NC","192.168.1.135","75.138.193.56",No
2020-01-11 03:50,Wi-Fi,"SSID: Holly Hill",34.316113,-77.737979,713,986758,4268,6607680,58,"Snow Hill, NC","192.168.1.135","75.138.193.56",No
2020-01-10 05:00,Wi-Fi,"SSID: Holly Hill",34.315611,-77.737847,28682,46570576,9776,17014299,52,"Snow Hill, NC","192.168.1.135","75.138.193.56",No
2020-01-07 21:43,Wi-Fi,"SSID: Holly Hill",34.315641,-77.738060,51294,83062824,11031,13171688,39,"Conway, SC","192.168.1.135","75.138.193.56",No
2020-01-07 21:40,Wi-Fi,"SSID: Holly Hill",34.315287,-77.737516,620,874592,7686,12007272,160,"Conway, SC","192.168.1.135","75.138.193.56",No
2020-01-07 15:28,Wi-Fi,"SSID: Holly Hill",34.315700,-77.737796,14977,15687632,7513,12494892,45,"Rocky Mount, NC","192.168.1.135","75.138.193.56",No
2020-01-06 15:52,Wi-Fi,"SSID: Holly Hill_Ext",34.315468,-77.737626,962,1600040,4739,7637576,48,"Raleigh, NC","192.168.1.137","75.138.193.56",No
2020-01-06 15:10,Wi-Fi,"SSID: Holly Hill",34.315485,-77.737980,38529,39520020,10996,18303144,37,"Conway, SC","192.168.1.137","75.138.193.56",No
2020-01-06 13:59,Wi-Fi,"SSID: Holly Hill",34.315783,-77.737921,56772,87984024,10907,11167680,38,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-06 04:27,Wi-Fi,"SSID: Holly Hill",34.315827,-77.737810,21208,32820200,9077,15205636,39,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-06 04:23,Wi-Fi,"SSID: Holly Hill",34.315931,-77.737549,36308,60897152,10451,18058177,35,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-06 03:47,Wi-Fi,"SSID: Holly Hill",34.316157,-77.737958,4204,7092552,10715,12673096,29,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-05 21:11,Wi-Fi,"SSID: Holly Hill",34.315661,-77.737885,502,693485,7131,4234080,86,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-05 20:08,Wi-Fi,"SSID: Holly Hill",34.315787,-77.737858,56704,85146944,10530,12740928,46,"Conway, SC","192.168.1.131","75.138.193.56",No
2020-01-05 16:16,Wi-Fi,"SSID: Holly Hill",34.315636,-77.737695,2569,6462424,8784,10520536,50,"Raleigh, NC","192.168.1.130","75.138.193.56",No
2020-01-05 15:34,Wi-Fi,"SSID: Holly Hill",34.315655,-77.737858,63213,96173808,10586,13842136,38,"Conway, SC","192.168.1.130","75.138.193.56",No
2020-01-05 13:05,Wi-Fi,"SSID: Holly Hill",34.315732,-77.737752,630,816672,1190,1552712,49,"Rocky Mount, NC","192.168.1.122","75.138.193.56",No
2020-01-05 11:03,Wi-Fi,"SSID: Holly Hill",34.315709,-77.738048,43984,65566888,9620,12199856,49,"Raleigh, NC","192.168.1.122","75.138.193.56",No
2020-01-05 01:30,Wi-Fi,"SSID: Holly Hill",34.315617,-77.737942,9256,12153064,5759,8977168,42,"Raleigh, NC","192.168.1.122","75.138.193.56",No
2020-01-04 20:57,Wi-Fi,"SSID: Holly Hill",34.315836,-77.738348,7311,8667864,9661,16527528,43,"Raleigh, NC","192.168.1.122","75.138.193.56",No
2020-01-04 19:17,Wi-Fi,"SSID: Holly Hill",34.315787,-77.738126,23423,29142448,10308,14326968,49,"Rocky Mount, NC","192.168.1.122","75.138.193.56",No
